,Alveolar epithelial cells (Lung),B Cell,Endothelial Cell,Erythrocytes,Mast Cell,Mesenchymal Stem Cell,Myeloid Cell,Myoblast,Non-malignant mesenchymal/stromal population,Osteoblast (non malignant),Osteoblast_subcluster_0,Osteoblast_subcluster_1,Osteoblast_subcluster_2,Osteoblast_subcluster_3,Osteoblast_subcluster_4,Osteoblast_subcluster_5,Osteoclast,Plasma Cell,Plasmacytoid dendritic cells (pDCs),T/NK Cell
8,0.0033188297,0.0007768704,0.005140062,0.0057320665,0.000393722,0.2728065,0.0005130192,2.0478673,0.07396534,0.073401526,0.26890108,0.6157868,0.44144776,0.101785615,0.31603387,0.9583177,0.002464066,0.0009128628,0.0033393966,0.00017453439
9,0.1717915,0.03299446,0.12130064,0.020397605,0.03815424,0.14260724,0.055695727,0.26896968,0.15428585,0.15190709,0.49964452,0.69884485,0.6547539,0.3235506,0.5892082,1.0340937,0.3056459,0.0474564,0.046908863,0.029236332
13,0.0022273976,0.00078629365,0.0025070917,0.0048637055,0.00035985833,0.003078524,0.0028847656,0.0114274835,0.004676125,0.004845282,0.0074208523,0.006756905,0.002272568,0.012028117,0.0044092466,0.0032217954,0.0010723072,0.00031142164,0.007173017,3.119113e-05
14,0.7585621,0.008795956,0.34918323,0.021527097,0.02805952,0.4939191,0.06121892,1.3963752,0.39600503,0.1312808,0.90260834,1.2097415,0.42876628,1.4513974,0.7103896,0.71630514,0.049341727,0.0036068347,0.13463768,0.0051232744
15,0.1778803,0.6385152,0.7948954,0.11122146,0.1538331,1.1273609,0.7732286,7.0916796,0.42901057,0.37719733,1.7261732,2.3457937,2.3041735,49.369404,2.5119224,5.043742,0.2938792,0.4687959,0.46974254,0.36429015
16,1.1053962,0.0013845098,0.41473535,0.0060120816,0.003718764,0.05838717,0.028285785,0.12340017,0.073366776,0.030657023,0.08713028,0.101396516,0.12224334,0.12640212,0.1028959,0.15538682,0.083973125,0.003915414,0.0053310627,0.0010640993
18,0.04060167,0.0012647572,0.016221926,0.0047392813,0.0017135818,0.0128501905,0.007976276,0.017451212,0.012585219,0.008935994,0.034485552,0.08352298,0.04708969,0.026549418,0.057846177,0.06688588,0.019938752,0.0032071339,0.008638935,0.0031295777
19,0.01235366,0.013484315,0.013551731,0.010061199,0.08422206,0.0031294692,0.0041600126,0.13806215,0.0009781697,0.0034861232,0.007069385,0.0076134363,0.0069732983,0.022535091,0.040275197,0.010425055,0.0010295347,0.0047294884,0.0049475515,0.21427712
20,0.007324179,0.0011881144,0.57749194,0.016045041,0.1739406,0.0005033259,0.01534209,0.07205184,0.0050231973,0.008930327,0.047472768,0.04488737,0.14565165,0.018008491,0.1315551,0.019422812,0.01610832,0.009227304,0.016927239,0.19826983
21,0.25265598,0.032881692,0.3594251,0.044328883,0.09742107,0.81031525,0.20702451,0.24933937,0.32581702,0.22405969,0.96812814,1.3484854,1.1247851,0.94552386,1.0507917,1.2361403,0.73803824,0.22246152,0.09597042,0.06180888
22,0.022744277,0.009114224,0.06671153,0.011591148,0.0128798345,0.09501687,0.029666308,0.33144423,0.057747424,0.032223925,0.20056832,0.26812303,0.23584637,0.14244771,0.28647926,0.19400081,0.12580538,0.016860986,0.034041934,0.004814735
23,0.0021689131,0.0005419786,0.010610396,0.0044442583,0.00033157077,0.008299071,0.00024497494,0.008113594,0.001521756,0.0010984772,0.012307261,0.03186473,0.06226287,0.0043926444,0.017558768,0.014963881,0.0021983227,0.00044743408,0.0016458709,3.8393828e-05
25,0.16940418,0.04515177,0.11774673,0.023771904,0.04142286,0.177165,0.07757206,0.49641374,0.11430237,0.093556665,0.41189012,0.66844374,0.4921338,0.25615284,0.427436,0.71229804,0.3005599,0.08218737,0.04126257,0.039855544
28,0.02089874,0.006378126,0.028620085,0.0059005744,0.012047861,0.075931415,0.021815246,0.11546462,0.051929533,0.044196215,0.12223629,0.17300688,0.1391778,0.07874836,0.14227752,0.13642062,0.07078227,0.027557814,0.01307606,0.004418493
29,0.04311257,0.009787271,0.023789024,0.0070164786,0.009690656,0.079753555,0.018218841,0.044252135,0.04677891,0.02950944,0.16695672,0.26943576,0.23665898,0.11339943,0.1805244,0.27862665,0.13558841,0.026551878,0.009388317,0.008623959
30,0.0021436727,0.0006083642,0.03213454,0.006953654,0.00038322544,0.02570902,0.00037846575,0.21368907,0.030141367,0.029928762,0.3294898,0.49332124,0.443453,0.21744885,0.32211745,0.61674035,0.22725827,0.00082741363,0.0037363998,3.7197697e-05
31,0.02169113,0.009915764,0.06054375,0.010682438,0.0048908,0.033185862,0.015248546,0.041035466,0.030654952,0.017343396,0.097930826,0.1551807,0.13124362,0.10360046,0.10030998,0.13176224,0.10099698,0.03355618,0.011016959,0.0047580255
33,0.06609388,0.00072052097,0.03417894,0.01061776,0.0064799683,0.053082485,0.013463385,0.063821085,0.045190334,0.036256503,0.12428024,0.12815706,0.15267098,0.07506337,0.12952061,0.20514336,0.19518018,0.011447507,0.0039865198,0.0014277874
34,0.09078424,0.009740884,0.029514687,0.0051214593,0.009101462,1.9215782,0.014648434,0.4788004,0.95453453,0.6735411,4.2318563,3.7482243,2.8687465,2.977373,3.4427757,3.7763062,0.03522137,0.017316004,0.011778724,0.010297904
35,0.23849292,0.15954567,0.48068783,0.19658464,0.16641822,0.82354534,0.2848871,2.434431,0.63447106,0.44457257,2.513946,4.379051,3.3366227,1.8987582,2.9355435,5.3566556,3.2477956,0.5069225,0.26666403,0.11664379
36,0.21085814,0.030280445,0.18483801,0.042433232,0.0328507,0.17904906,0.057499766,0.087899774,0.13730662,0.15872233,0.30361843,0.35250166,0.34274325,0.17928371,0.2958722,0.53682417,0.20491153,0.072215274,0.051953863,0.02972034
37,0.47017998,0.15216312,0.46639684,0.15125282,0.18762304,0.8209429,0.31198817,1.2213541,0.44528404,0.33585608,1.9500778,2.6156058,2.1801372,1.4631974,2.0151896,3.2569063,1.8200473,0.31882834,0.24104701,0.13249584
39,0.14843644,0.0009202046,0.052919555,0.0039907782,0.00040690607,0.15495718,0.00081870105,0.09072786,0.017031733,0.0093653845,0.057648875,0.072017774,0.06194489,0.0292649,0.03609249,0.05208104,0.004612205,0.0008623911,0.0055302666,5.0558938e-05
41,0.3801507,0.00092117995,1.8405424,0.0057226596,0.0016381986,0.0974117,0.0016403131,0.029779738,0.08320046,0.07603355,0.34869114,0.54516065,0.5908158,0.2528296,0.42586732,0.56643784,0.37366208,0.0026919763,0.0019057163,0.00054552517
42,0.07988398,0.0013563614,0.015618077,0.0056057577,0.0068106013,0.0013232444,0.0010315255,0.009347166,0.0015346362,0.002537659,0.0041374685,0.004359887,0.010725131,0.0078941705,0.011601562,0.0501209,0.0030360862,0.017105836,0.0017567014,0.0007608026
